"Developing economies",1632556,,1666298,,1703162,,1742322,,1782889,,1825742,,1869374,,1914663,,1960904,,2003175,,2040237,,2077029,,2122995,,2180166,,2239872,,2298365,,2356823,,2415469,,2476633,,2540397,,2605355,,2669945,,2734216,,2799917,,2865768,,2930908,,2995572,,3060299,,3125827,,3193759,,3264166,,3336838,,3412635,,3489244,,3566158,,3645036,,3725899,,3809025,,3892634,,3976617,,4061574,,4144283,,4294260,,4375018,,4453926,,4532683,,4611907,,4690680,,4769632,,4848355,,4927195,,5006296,,5084160,,5161585,,5239811,,5318682,,5398478,,5478871,,5560044,,5642713,,5726292,,5810073,,5895014,,5980374,,6064857,,6147946,,6229944,,6311339,,6390505,,6467207,,6540664,,6608241,,6675413,,6744884,,6813451,,6881801,,6949994,,7017868,,7085013,,7151477,,7217295,,7282424,,7346787,,7410337,,7473079,,7534997,,7596066,,7656201,,7715340,,7773505,,7830661,,7886687,,7941481,,7995081,,8047478,,8098529,,8148172,,8196354,,8243013,,8288127,,8331641,
"Developing economies: Africa",227776,,232557,,237540,,242685,,248006,,253538,,259271,,265129,,271042,,277272,,283922,,290814,,297960,,305371,,313060,,321013,,329252,,337851,,346801,,356032,,365552,,375326,,385312,,395822,,406870,,418433,,430497,,442660,,455539,,469198,,483051,,497621,,512959,,528232,,543638,,559664,,575967,,592601,,609387,,626359,,643775,,661104,,678558,,696621,,714502,,732695,,751473,,770384,,789981,,810080,,830583,,851690,,873411,,895734,,918778,,942546,,966932,,992056,,1018065,,1044778,,1072216,,1100149,,1128843,,1158780,,1189220,,1220075,,1251208,,1282902,,1315410,,1348005,,1380821,,1413753,,1446884,,1480771,,1515141,,1549868,,1584985,,1620262,,1655677,,1691327,,1727213,,1763341,,1799678,,1836165,,1872849,,1909745,,1946780,,1983889,,2021069,,2058326,,2095653,,2133011,,2170362,,2207713,,2245033,,2282242,,2319336,,2356368,,2393301,,2430064,,2466648,
"Developing economies: Americas",167782,,172179,,176743,,181465,,186352,,191408,,196635,,202035,,207597,,213338,,219268,,225392,,231696,,238152,,244734,,251413,,258168,,264985,,271854,,278779,,285741,,292776,,299925,,307174,,314507,,321910,,329388,,336994,,344748,,352587,,360493,,368411,,376372,,384477,,392669,,400865,,409042,,417217,,425426,,433641,,441885,,450079,,458220,,466313,,474323,,482311,,490234,,498099,,505973,,513769,,521323,,528626,,535741,,542688,,549494,,556212,,562855,,569468,,576049,,582545,,588908,,595243,,601577,,607837,,614015,,620043,,625923,,631575,,637012,,642196,,646729,,650465,,654367,,658892,,663466,,667889,,672136,,676242,,680211,,684042,,687743,,691313,,694748,,698044,,701206,,704227,,707098,,709813,,712379,,714787,,717030,,719106,,721007,,722734,,724286,,725665,,726872,,727917,,728799,,729507,,730057,
"Developing economies: Asia and Oceania",1236998,,1261563,,1288880,,1318171,,1348531,,1380796,,1413468,,1447500,,1482265,,1512565,,1537047,,1560824,,1593339,,1636643,,1682078,,1725939,,1769403,,1812633,,1857978,,1905586,,1954062,,2001842,,2048979,,2096921,,2144390,,2190565,,2235687,,2280645,,2325540,,2371973,,2420621,,2470807,,2523305,,2576535,,2629852,,2684507,,2740890,,2799206,,2857821,,2916617,,2975914,,3033101,,3157482,,3212084,,3265100,,3317677,,3370200,,3422196,,3473678,,3524507,,3575290,,3625980,,3675007,,3723163,,3771538,,3819924,,3868691,,3917348,,3965930,,4015390,,4065168,,4114682,,4164594,,4213757,,4261622,,4307828,,4352812,,4396862,,4438083,,4477006,,4513113,,4544023,,4574163,,4605222,,4634844,,4664045,,4692874,,4721364,,4749124,,4776108,,4802338,,4827769,,4852362,,4876127,,4899024,,4921025,,4942189,,4962499,,4981893,,5000392,,5017977,,5034570,,5050111,,5064634,,5078159,,5090623,,5101964,,5112070,,5120913,,5128555,,5134937,
"Developed economies",860537,,870629,,880924,,891785,,903005,,914472,,926036,,937955,,950345,,962775,,975234,,987840,,1000379,,1012642,,1024615,,1036169,,1047218,,1057944,,1068554,,1079095,,1089329,,1099903,,1110702,,1120888,,1130649,,1139827,,1148675,,1157565,,1166270,,1174781,,1183441,,1191939,,1200038,,1208084,,1216017,,1223907,,1232174,,1240722,,1249359,,1257815,,1266230,,1274453,,1211730,,1216527,,1221626,,1226196,,1230148,,1234108,,1237434,,1240651,,1244508,,1248640,,1253571,,1258776,,1263567,,1268288,,1272974,,1278437,,1284413,,1290054,,1295440,,1300850,,1306188,,1311419,,1316759,,1322545,,1328611,,1334279,,1339398,,1344087,,1346338,,1346208,,1345994,,1346851,,1348522,,1349812,,1350684,,1351226,,1351606,,1351808,,1351830,,1351696,,1351442,,1351112,,1350706,,1350213,,1349621,,1348952,,1348233,,1347423,,1346529,,1345595,,1344630,,1343580,,1342396,,1341110,,1339717,,1338192,,1336523,,1334697,,1332737,
"Developed economies: Americas",168009,,170631,,173344,,176134,,179025,,181999,,185057,,188214,,191395,,194739,,198253,,201834,,205422,,208876,,212230,,215431,,218413,,221205,,223844,,226439,,229340,,232427,,235179,,237626,,240008,,242387,,244733,,247099,,249484,,251922,,254502,,257157,,259835,,262512,,265138,,267733,,270281,,272819,,275439,,278160,,281282,,284749,,288227,,291585,,294744,,297787,,300750,,303650,,306572,,309509,,312500,,315618,,318745,,321870,,325045,,328283,,331615,,335062,,338545,,341976,,345386,,348787,,352164,,355530,,358875,,362214,,365658,,369139,,372477,,375699,,377734,,378742,,380482,,382903,,385295,,387528,,389629,,391636,,393615,,395551,,397430,,399275,,401085,,402855,,404601,,406312,,407977,,409616,,411227,,412786,,414279,,415725,,417144,,418518,,419821,,421072,,422263,,423405,,424506,,425556,,426580,
"Developed economies: Asia and Oceania",118072,,119942,,121916,,123956,,125981,,128029,,130030,,131916,,133796,,135726,,137654,,139553,,141420,,143297,,145197,,147144,,149066,,151163,,153478,,155780,,158188,,160688,,163140,,165567,,167961,,170162,,172116,,173908,,175601,,177226,,178772,,180283,,181800,,183251,,184606,,185922,,187348,,188879,,190384,,191834,,193338,,194742,,195887,,196936,,197998,,199028,,200029,,201033,,201998,,202925,,203843,,204785,,205699,,206530,,207276,,207959,,208675,,209479,,210319,,211142,,211909,,212704,,213565,,214418,,215243,,216094,,216950,,217711,,218356,,218884,,219079,,218852,,218547,,218345,,218143,,217884,,217573,,217219,,216833,,216415,,215967,,215494,,214991,,214457,,213895,,213311,,212709,,212087,,211453,,210807,,210148,,209478,,208807,,208135,,207453,,206759,,206060,,205348,,204622,,203885,,203130,
"Developed economies: Europe",574455,,580056,,585664,,591694,,598000,,604444,,610949,,617825,,625155,,632311,,639328,,646453,,653537,,660469,,667188,,673595,,679739,,685576,,691232,,696876,,701801,,706788,,712383,,717695,,722679,,727278,,731825,,736557,,741185,,745634,,750166,,754498,,758403,,762321,,766273,,770253,,774545,,779024,,783536,,787821,,791609,,794962,,727617,,728006,,728885,,729381,,729370,,729425,,728864,,728218,,728164,,728238,,729127,,730376,,731246,,732047,,732684,,733896,,735549,,736936,,738145,,739359,,740459,,741471,,742641,,744237,,746003,,747429,,748565,,749504,,749524,,748614,,746965,,745603,,745084,,744399,,743482,,742372,,741159,,739842,,738433,,736926,,735366,,733801,,732211,,730591,,728934,,727248,,725552,,723831,,722102,,720391,,718678,,716926,,715122,,713280,,711394,,709439,,707396,,705257,,703028,
"Developing economies excluding China",1088512,,1112540,,1138030,,1164764,,1192776,,1222195,,1252816,,1284307,,1316685,,1350467,,1385435,,1421256,,1457922,,1495613,,1535074,,1574949,,1614421,,1654443,,1695622,,1738256,,1782046,,1825875,,1870538,,1917340,,1965460,,2014792,,2065199,,2116753,,2169666,,2224470,,2281002,,2339117,,2399047,,2460179,,2522309,,2585228,,2648665,,2712807,,2777390,,2842626,,2907991,,2973495,,3109686,,3177709,,3244922,,3312549,,3380962,,3449540,,3518785,,3588179,,3657614,,3727571,,3797293,,3867068,,3937710,,4008655,,4080424,,4153058,,4226223,,4300190,,4374731,,4449823,,4525493,,4601366,,4676905,,4751812,,4825891,,4898984,,4971496,,5043687,,5114557,,5181804,,5250234,,5322299,,5394129,,5465705,,5537080,,5608188,,5678876,,5749194,,5819141,,5888675,,5957727,,6026240,,6094202,,6161569,,6228323,,6294371,,6359618,,6424110,,6487844,,6550697,,6612572,,6673491,,6733462,,6792416,,6850355,,6907234,,6963020,,7017746,,7071352,
"Developing economies excluding LDCs",1434102,,1463952,,1496758,,1531749,,1567992,,1606308,,1645210,,1685638,,1726964,,1764018,,1795432,,1826289,,1866067,,1916854,,1969923,,2021509,,2072847,,2124072,,2177504,,2233381,,2290497,,2347671,,2404214,,2461157,,2517960,,2574295,,2630243,,2686233,,2742383,,2800263,,2861374,,2925004,,2990281,,3055302,,3120405,,3187357,,3256238,,3327127,,3398407,,3469797,,3542051,,3611866,,3747576,,3812795,,3876187,,3939394,,4002843,,4065770,,4128604,,4190991,,4253714,,4316619,,4377148,,4435836,,4496442,,4557279,,4618577,,4680677,,4743090,,4806332,,4870243,,4933679,,4997612,,5061379,,5123840,,5184698,,5243781,,5301591,,5356635,,5408429,,5456257,,5498290,,5540047,,5583273,,5624881,,5665707,,5705855,,5745489,,5784221,,5822005,,5858918,,5894983,,5930229,,5964626,,5998139,,6030744,,6062420,,6093141,,6122853,,6151516,,6179059,,6205438,,6230608,,6254528,,6277192,,6298530,,6318417,,6336814,,6353716,,6369087,,6382984,
"LDCs (Least developed countries)",198284,,202172,,206224,,210389,,214708,,219240,,223964,,228820,,233728,,238939,,244580,,250510,,256691,,263067,,269696,,276595,,283706,,291118,,298841,,306717,,314549,,321954,,329671,,338418,,347454,,356248,,364951,,373675,,383038,,393077,,402358,,411386,,421892,,433464,,445261,,457170,,469136,,481357,,493669,,506247,,518933,,531817,,546106,,561668,,577184,,592741,,608515,,624351,,640458,,656782,,672885,,689067,,706388,,725112,,742718,,760742,,779230,,797516,,816268,,835687,,855348,,875685,,896685,,918270,,940284,,962508,,985415,,1008993,,1033110,,1058014,,1083636,,1109175,,1134586,,1160825,,1187778,,1215297,,1243337,,1271572,,1299980,,1328656,,1357556,,1386615,,1415728,,1444876,,1474101,,1503410,,1532799,,1562208,,1591631,,1621130,,1650740,,1680383,,1710004,,1739682,,1769412,,1799123,,1828877,,1858661,,1888416,,1918159,,1947775,
"LDCs: Africa",108912,,111107,,113383,,115723,,118142,,120660,,123277,,125929,,128588,,131430,,134511,,137733,,141072,,144522,,148134,,151905,,155799,,159873,,164150,,168545,,173078,,177760,,182499,,187521,,192817,,198197,,203745,,209288,,215406,,222025,,228097,,234444,,241658,,248906,,255969,,263215,,270781,,278668,,286555,,294487,,302624,,310930,,319612,,328842,,338256,,348008,,358138,,368312,,378953,,390033,,401477,,413300,,425487,,438031,,451047,,464581,,478505,,492880,,507800,,523042,,538711,,554762,,571202,,588371,,605837,,623574,,642147,,661387,,681153,,701304,,721826,,742642,,763537,,784780,,806422,,828611,,851291,,874117,,897049,,920204,,943601,,967229,,991028,,1014955,,1039078,,1063416,,1087905,,1112491,,1137176,,1161990,,1186937,,1211981,,1237116,,1262371,,1287721,,1313117,,1338563,,1364095,,1389685,,1415278,,1440841,
"LDCs: Asia",85793,,87430,,89148,,90912,,92749,,94696,,96736,,98868,,101045,,103337,,105821,,108450,,111211,,114057,,116993,,120035,,123165,,126413,,129765,,133151,,136352,,138975,,141848,,145465,,149095,,152396,,155436,,158499,,161624,,164919,,168002,,170555,,173714,,177904,,182498,,187019,,191272,,195455,,199723,,204209,,208596,,213009,,218453,,224623,,230564,,236205,,241682,,247175,,252473,,257545,,262030,,266214,,271175,,276265,,280670,,284967,,289326,,293029,,296652,,300619,,304442,,308555,,312900,,317102,,321438,,325712,,329834,,333964,,338106,,342654,,347557,,352089,,356420,,361230,,366353,,371495,,376666,,381887,,387176,,392509,,397825,,403071,,408203,,413244,,418167,,422958,,427681,,432330,,436896,,441412,,445908,,450344,,454666,,458928,,463152,,467315,,471474,,475579,,479600,,483609,,487525,
"LDCs: Islands and Haiti",3579,,3635,,3693,,3754,,3817,,3883,,3951,,4022,,4096,,4172,,4249,,4327,,4408,,4487,,4569,,4655,,4742,,4832,,4925,,5021,,5119,,5220,,5324,,5432,,5542,,5655,,5770,,5888,,6009,,6133,,6259,,6387,,6519,,6654,,6793,,6936,,7084,,7235,,7391,,7551,,7714,,7878,,8041,,8203,,8365,,8528,,8695,,8863,,9033,,9204,,9378,,9552,,9726,,10817,,11001,,11193,,11400,,11608,,11816,,12025,,12195,,12368,,12583,,12797,,13010,,13222,,13433,,13643,,13852,,14055,,14253,,14444,,14629,,14814,,15003,,15192,,15380,,15567,,15755,,15943,,16130,,16315,,16497,,16677,,16856,,17036,,17213,,17387,,17559,,17729,,17895,,18059,,18222,,18383,,18539,,18691,,18840,,18987,,19131,,19272,,19409,
"LLDCs (Landlocked developing countries)",76850,,78403,,80004,,81638,,83315,,85051,,86851,,88651,,90433,,92365,,94472,,96679,,98972,,101330,,103800,,106370,,108991,,111718,,114569,,117486,,120468,,123500,,126491,,129583,,132867,,136195,,139588,,142856,,146102,,149133,,151640,,154234,,157745,,161916,,166277,,170757,,175224,,180109,,185575,,191337,,196913,,202757,,278353,,285775,,291066,,296518,,304009,,311412,,318264,,325264,,332025,,338855,,346925,,355608,,364019,,372579,,381485,,390099,,399068,,408670,,418365,,428553,,449724,,460534,,471366,,482100,,492885,,503809,,515440,,528050,,541141,,553892,,566129,,579185,,592790,,605977,,619099,,632445,,646023,,659748,,673569,,687457,,701365,,715283,,729205,,743155,,757148,,771159,,785175,,799226,,813343,,827452,,841492,,855549,,869610,,883601,,897571,,911512,,925403,,939250,,952945,
"SIDS (Small island developing States) (UN-OHRLLS)",22995,,23487,,23989,,24507,,25039,,25587,,26150,,26723,,27301,,27889,,28497,,29123,,29761,,30409,,31053,,31692,,32339,,32994,,33651,,34302,,34958,,35618,,36267,,36905,,37548,,38199,,38846,,39483,,40110,,40706,,41302,,41955,,42633,,43300,,43954,,44593,,45230,,45894,,46598,,47337,,48111,,48910,,49717,,50522,,51323,,52134,,52959,,53787,,54585,,55340,,56087,,56829,,57516,,59079,,59770,,60518,,61318,,62171,,63043,,63872,,64606,,65332,,66096,,66831,,67529,,68210,,68863,,69419,,70036,,70692,,71205,,71660,,72259,,72925,,73493,,74039,,74563,,75073,,75573,,76058,,76528,,76987,,77435,,77871,,78295,,78706,,79102,,79484,,79853,,80207,,80542,,80860,,81165,,81459,,81737,,82001,,82251,,82484,,82708,,82919,,83113,
"SIDS: Atlantic and Indian Ocean",1627,,1658,,1686,,1714,,1739,,1765,,1792,,1820,,1850,,1881,,1910,,1941,,1976,,2012,,2039,,2059,,2086,,2125,,2171,,2212,,2251,,2288,,2319,,2356,,2407,,2477,,2553,,2635,,2719,,2782,,2828,,2878,,2928,,2978,,3030,,3083,,3137,,3191,,3246,,3303,,3362,,3428,,3501,,3577,,3651,,3718,,3779,,3837,,3894,,3952,,4012,,4074,,4139,,4204,,4269,,4337,,4407,,4482,,4559,,4637,,4715,,4794,,4874,,4954,,5036,,5117,,5198,,5279,,5358,,5438,,5518,,5599,,5676,,5749,,5822,,5895,,5967,,6039,,6111,,6181,,6251,,6321,,6391,,6462,,6532,,6600,,6668,,6737,,6805,,6873,,6940,,7006,,7071,,7136,,7200,,7265,,7328,,7390,,7453,,7514,,7573,
"SIDS: Caribbean",17871,,18226,,18587,,18954,,19330,,19712,,20103,,20503,,20913,,21335,,21776,,22235,,22705,,23183,,23665,,24149,,24633,,25116,,25595,,26072,,26553,,27042,,27525,,27992,,28450,,28898,,29334,,29758,,30168,,30569,,30963,,31360,,31779,,32220,,32667,,33116,,33565,,34014,,34471,,34937,,35409,,35880,,36340,,36784,,37216,,37644,,38068,,38488,,38900,,39304,,39694,,40066,,40428,,40785,,41128,,41455,,41775,,42091,,42403,,42717,,42980,,43232,,43523,,43803,,44068,,44324,,44570,,44748,,44987,,45266,,45490,,45684,,45861,,46077,,46290,,46485,,46662,,46828,,46984,,47129,,47264,,47391,,47509,,47619,,47720,,47814,,47899,,47974,,48040,,48097,,48145,,48186,,48218,,48241,,48255,,48261,,48257,,48244,,48224,,48195,,48157,
"SIDS: Pacific",3497,,3603,,3716,,3840,,3971,,4109,,4255,,4400,,4538,,4673,,4811,,4947,,5080,,5214,,5349,,5484,,5620,,5753,,5885,,6018,,6153,,6288,,6423,,6557,,6691,,6825,,6958,,7091,,7223,,7355,,7511,,7717,,7926,,8102,,8257,,8394,,8528,,8689,,8880,,9097,,9340,,9602,,9876,,10160,,10456,,10773,,11112,,11463,,11792,,12084,,12381,,12689,,12949,,14090,,14373,,14727,,15135,,15598,,16082,,16518,,16911,,17305,,17700,,18074,,18426,,18769,,19095,,19392,,19691,,19989,,20198,,20377,,20722,,21098,,21381,,21659,,21933,,22206,,22479,,22748,,23013,,23275,,23534,,23790,,24043,,24293,,24535,,24773,,25008,,25236,,25456,,25668,,25876,,26082,,26281,,26475,,26665,,26849,,27032,,27211,,27383,
"BRICS",1245118,,1269413,,1296087,,1324348,,1353464,,1384290,,1415326,,1447496,,1480324,,1508419,,1530557,,1552247,,1582485,,1623053,,1664626,,1703948,,1743127,,1782449,,1823504,,1865887,,1909040,,1952114,,1994475,,2036845,,2078776,,2119736,,2159734,,2199366,,2238683,,2279040,,2321136,,2365074,,2410993,,2456903,,2502786,,2550044,,2599164,,2650117,,2701072,,2751437,,2802447,,2850371,,2800643,,2842031,,2882819,,2923589,,2964105,,3004202,,3044168,,3083463,,3122630,,3161834,,3199740,,3235934,,3273105,,3310313,,3347445,,3384099,,3420429,,3457619,,3495423,,3533095,,3571671,,3610470,,3648095,,3684423,,3720087,,3755508,,3788581,,3818336,,3844538,,3865628,,3885467,,3906116,,3925764,,3944842,,3963583,,3982085,,3999800,,4016741,,4032966,,4048453,,4063222,,4077258,,4090585,,4103253,,4115216,,4126431,,4136908,,4146642,,4155631,,4163851,,4171250,,4177823,,4183560,,4188382,,4192224,,4195088,,4196903,,4197619,,4197272,
"European Union (2020 …)",318115,,320446,,322775,,325338,,328025,,330702,,333311,,336106,,339179,,342146,,344992,,347801,,350654,,353573,,356521,,359439,,362268,,364886,,367468,,370212,,372521,,374878,,377672,,380294,,382652,,384604,,386424,,388331,,390143,,391983,,394056,,395918,,397285,,398388,,399362,,400359,,401442,,402559,,403821,,405319,,406854,,408327,,424545,,425819,,426937,,427629,,427996,,428499,,428534,,428734,,429549,,430517,,431845,,433431,,435040,,436549,,437693,,439032,,440611,,441770,,442702,,443544,,444110,,444525,,445113,,446076,,447085,,447881,,448691,,449557,,449976,,449914,,451323,,452874,,452491,,451240,,450153,,449484,,448754,,447962,,447109,,446197,,445257,,444307,,443337,,442340,,441305,,440247,,439169,,438057,,436921,,435784,,434630,,433425,,432167,,430866,,429524,,428131,,426682,,425176,,423622,
"G20 (Group of Twenty)",1695433,,1726025,,1759026,,1793974,,1829906,,1867530,,1905446,,1944571,,1984441,,2019824,,2049385,,2078562,,2116361,,2164430,,2213504,,2260186,,2306443,,2352848,,2400980,,2450319,,2500836,,2551632,,2601365,,2650696,,2699305,,2746482,,2792294,,2837539,,2882269,,2927906,,2975346,,3023821,,3074003,,3124666,,3175146,,3226932,,3280549,,3336064,,3391777,,3447081,,3582873,,3636697,,3541451,,3588037,,3633864,,3678577,,3722530,,3765940,,3808469,,3850269,,3892579,,3935125,,3976791,,4016469,,4056430,,4096273,,4135660,,4174935,,4214635,,4255306,,4296520,,4337398,,4378968,,4420715,,4461524,,4501451,,4539941,,4576868,,4610724,,4641236,,4666521,,4684542,,4702451,,4721968,,4739500,,4755861,,4771937,,4787907,,4803034,,4817274,,4830644,,4843138,,4854777,,4865592,,4875594,,4884795,,4893152,,4900652,,4907304,,4913051,,4917904,,4921902,,4925015,,4927181,,4928369,,4928561,,4927686,,4925706,,4922564,,4918225,,4912750,
"G-77 (Group of 77)",1570721,,1602699,,1637716,,1674949,,1713517,,1754305,,1795730,,1838669,,1882507,,1922333,,1956913,,1991281,,2034900,,2089688,,2146213,,2201245,,2256768,,2313143,,2371920,,2432548,,2494357,,2555826,,2617024,,2679707,,2742559,,2804730,,2866387,,2928026,,2990456,,3055287,,3122594,,3192248,,3264975,,3338437,,3412224,,3488010,,3565848,,3646013,,3726660,,3807704,,3889750,,3969495,,4064159,,4141628,,4217433,,4293161,,4369422,,4445384,,4521654,,4597593,,4673558,,4749863,,4824928,,4899568,,4975041,,5051175,,5128186,,5205650,,5283657,,5362978,,5443203,,5523651,,5605141,,5686836,,5767270,,5846088,,5924260,,6002128,,6077822,,6151318,,6221942,,6287128,,6351969,,6418991,,6485212,,6551332,,6617342,,6683071,,6748123,,6812557,,6876390,,6939597,,7002099,,7063840,,7124835,,7185078,,7244527,,7303074,,7360683,,7417373,,7473101,,7527762,,7581240,,7633574,,7684750,,7734644,,7783194,,7830364,,7876088,,7920350,,7963107,
"OECD (Organisation for Economic Cooperation and Development)",705356,,714004,,722891,,732322,,742035,,751899,,761867,,772187,,782911,,793838,,804904,,816139,,827597,,839070,,850520,,861863,,872918,,883668,,894303,,905011,,915696,,926782,,937974,,948615,,958816,,968330,,977389,,986461,,995505,,1004633,,1014126,,1023416,,1032283,,1041027,,1049589,,1058126,,1066791,,1075578,,1084614,,1094020,,1104060,,1114360,,1134394,,1144090,,1153424,,1162154,,1170349,,1178583,,1186345,,1194230,,1202696,,1211374,,1220359,,1229513,,1238682,,1247785,,1256656,,1266025,,1275908,,1285384,,1294545,,1303623,,1312434,,1321167,,1330395,,1340251,,1349912,,1359300,,1368523,,1377096,,1382925,,1386368,,1391988,,1398519,,1403045,,1406379,,1409600,,1413046,,1416307,,1419342,,1422153,,1424765,,1427183,,1429435,,1431529,,1433453,,1435199,,1436791,,1438236,,1439493,,1440559,,1441482,,1442283,,1442904,,1443300,,1443497,,1443501,,1443308,,1442907,,1442278,,1441449,
